S.No.,Customers,Iterations,AAWT
1,1000,100,2.812740
2,2000,100,2.748540
3,3000,100,2.768267
4,4000,100,2.772150
5,5000,100,2.764452
6,6000,100,2.736152
7,1000,200,2.772300
8,2000,200,2.735762
9,3000,200,2.770750
10,4000,200,2.756791
11,5000,200,2.756917
12,6000,200,2.744217
